user_id,product_id,action,timestamp
d0e3eb21-663f-5594-88de-40bbcd7ee4f0,ba368449-7c30-5902-853e-c39c5ce4112f,view,2026-01-01T01:04:00Z
4a3d5a19-3f95-5ada-9780-19f2c4fead69,40c64ccd-7858-5a1e-bf52-a228521f6d43,view,2026-01-01T01:11:00Z
70af26e4-81c1-536d-ad4c-1a9f82b0a40d,27eac5a9-d3b4-5b05-8754-5341be75a21c,view,2026-01-01T01:16:00Z
70af26e4-81c1-536d-ad4c-1a9f82b0a40d,6408b503-fc6f-5208-baf7-4240b82b82dd,click,2026-01-01T01:59:00Z
53ee7f44-a802-511a-bc7a-0427787cb5e2,8fc72082-318d-59ff-b24d-5f0777f5b529,view,2026-01-01T02:11:00Z
d736f927-d164-5053-a524-3c38107a9973,9763ee37-85e7-526a-b5ea-791e92050b28,add_to_cart,2026-01-01T02:13:00Z
70af26e4-81c1-536d-ad4c-1a9f82b0a40d,ba368449-7c30-5902-853e-c39c5ce4112f,click,2026-01-01T02:14:00Z
c752c8d1-0c0e-523b-983f-6e4a21c2431a,4973df0d-4865-5345-b844-f54319bab8f2,view,2026-01-01T02:25:00Z
64ac2849-6b20-52a0-a1c1-c63964491cba,27eac5a9-d3b4-5b05-8754-5341be75a21c,view,2026-01-01T02:28:00Z
500b2201-cd8c-539b-bd5a-6905a31ff53a,ac8776cb-d270-56b6-8909-6901d0e37f8d,add_to_cart,2026-01-01T02:39:00Z
a1defaee-74a0-5f7b-86c1-4c19f08df858,4973df0d-4865-5345-b844-f54319bab8f2,add_to_cart,2026-01-01T02:43:00Z
83584948-af7c-5d2e-b7af-9eca4dc5ced7,d7f7293f-ffe9-5f17-a312-c612516c86da,view,2026-01-01T02:49:00Z
c752c8d1-0c0e-523b-983f-6e4a21c2431a,14510b6d-dbe7-5e15-9849-c547b5294898,view,2026-01-01T02:57:00Z
0bd7f66b-6337-5daf-991b-5e92741e0005,12487ce5-d03b-5784-8e69-95e61591bba8,view,2026-01-01T02:59:00Z
d736f927-d164-5053-a524-3c38107a9973,14510b6d-dbe7-5e15-9849-c547b5294898,view,2026-01-01T03:01:00Z
761f83fb-4b18-55c6-b2d9-47f4beb79eea,716f4a9c-9cfa-5230-b97d-27a76e846421,view,2026-01-01T03:02:00Z
d0e3eb21-663f-5594-88de-40bbcd7ee4f0,0e79d6b4-a0ad-50f9-8cc8-75eeb1b599d0,view,2026-01-01T03:02:00Z
add31b75-aabf-5884-ba0d-50886ec3c6de,0e79d6b4-a0ad-50f9-8cc8-75eeb1b599d0,view,2026-01-01T03:06:00Z
83584948-af7c-5d2e-b7af-9eca4dc5ced7,ac8776cb-d270-56b6-8909-6901d0e37f8d,view,2026-01-01T03:17:00Z
70af26e4-81c1-536d-ad4c-1a9f82b0a40d,ba368449-7c30-5902-853e-c39c5ce4112f,view,2026-01-01T03:23:00Z
